Variable / Field Name,Form Name,Section Header,Field Label,"Choices, Calculations, OR Slider Labels",Definition,Completion Guideline,Standardized Term Codelist,Standardized Term Code,Standardized Term Codelist URL,Metathesaurus Concept Code,Metathesaurus Code Link,Branching Logic (Show field only if...)
complications_cardiomyopathy,outcome,,Cardiomyopathy,"1, Yes | 0, No","An indication whether the patient had/has cardiomyopathy, specified as a disease of the heart muscle or myocardium proper at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"85898001, Cardiomyopathy","https://termbrowser.nhs.uk/?perspective=full&conceptId1=85898001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3809229, Cardiomyopathy",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3809229,
complications_congestiveheartfailure,outcome,,Congestive heart failure,"1, Yes | 0, No","An indication whether the patient had/has congestive heart failure, specified as failure of the heart to pump a sufficient amount of blood to meet the needs of the body tissues, resulting in tissue congestion and edema at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"42343007, Congestive heart failure","https://termbrowser.nhs.uk/?perspective=full&conceptId1=42343007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3551869, Congestive Heart Failure",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3551869,
complications_strokecva,outcome,,Stroke / Cerebrovascular accident,"1, Yes | 0, No","An indication whether the patient had/has a stroke or cerebrovascular accident, specified as a sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event  at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"230690007, Cerebrovascular accident","https://termbrowser.nhs.uk/?perspective=full&conceptId1=230690007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3554760, Stroke",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3554760,
complications_severeneurologic,outcome,,Severe neurological disease,"1, Yes | 0, No","An indication whether the patient had/has severe neurological disease , the most common are specified as Alzheimer's, Parkinson's disease, epilepsy, migraines, multiple sclerosis, and stroke at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"407624006, Suspected neurological disease","https://termbrowser.nhs.uk/?perspective=full&conceptId1=407624006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL930184, Other severe neurological injury, disease, or dysfunction",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL930184,
complications_focalneurological,outcome,,Focal neurological signs,"1, Yes | 0, No","An indication whether the patient had/has focal neurological signs, specified as impairments of nerve, spinal cord, or brain function that affect a specific region of the body, e.g. weakness in the left arm, the right leg, paresis, or plegia, identified in neurological examination, at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"264552009, Neurological deficit","https://termbrowser.nhs.uk/?perspective=full&conceptId1=264552009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3829085, MHIS-NACC - Focal Neurological Signs",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3829085,
complications_severebleeding,outcome,,Severe bleeding (requiring intervention),"1, Yes | 0, No",An indication whether the patient had/has severe bleeding specified as either intracranial haemorrhage or bleeding resulting in haemodynamic compromise necessitating intervention at the specified time.,COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"8573003, Acute hemorrhage","https://termbrowser.nhs.uk/?perspective=full&conceptId1=8573003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL1379584, Severe bleeding-GUSTO classification",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL1379584,
complications_seizure,outcome,,Seizure,"1, Yes | 0, No","An indication whether the patient had/has seizures specified as a sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"230433003, Isolated seizures (disorder)","https://termbrowser.nhs.uk/?perspective=full&conceptId1=230433003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C2748942, Seizure",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C2748942,
complications_meningitis,outcome,,Meningitis / Encephalitis,"1, Yes | 0, No",An indication whether the patient had/has meningitis specified as inflammation of the membranes surrounding the brain and spinal cord and/or encephalitis specified as inflammation of the brain at the specified time.,COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"7180009, Meningitis, 45170000, Encephalitis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=7180009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0025289, Meningitis, C0014038 , Encephalitis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0025289;        https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0014038,
complications_shock,outcome,,Shock ,"1, Yes | 0, No","An indication whether the patient had/has shock, specified as a profoundly reduced blood flow that results in impaired tissue perfusion and possible end organ damage at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"27942005, Shock","https://termbrowser.nhs.uk/?perspective=full&conceptId1=27942005&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0036974, Shock",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0036974,
complications_bacteraemia,outcome,,Bacteraemia,"1, Yes | 0, No","An indication whether the patient had/has bacteraemia, specified as the presence of bacteria in the blood at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"5758002, Bacteremia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=5758002&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0004610, Bacteremia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0004610,
complications_sepsis,outcome,,Sepsis,"1, Yes | 0, No",An indication whether the patient had/has sepsis specified as a life-threatening reaction to an infection at the specified time.,COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"91302008, Sepsis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=91302008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0243026, Sepsis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0243026,
complications_coagulationdisorder,outcome,,Coagulation disorder / DIC,"1, Yes | 0, No","An indication whether the patient had/has a coagulation disorder specified as a condition of abnormal blood clotting or bleeding and/or has/had a disseminated Intravascular coagulation specified as a pathological process where the blood starts to coagulate throughout the whole body, which then depletes the body of its platelets and coagulation factors, and there is an increased risk of hemorrhage  at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"64779008, Blood coagulation disorder,                           67406007, Disseminated intravascular coagulation","https://termbrowser.nhs.uk/?perspective=full&conceptId1=64779008&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4229995, coagulation disorder, C0012739 ,Disseminated Intravascular Coagulation",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4229995;       https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0012739,
complications_pulmonaryembolism,outcome,,Pulmonary Embolism (PE),"1, Yes | 0, No","An indication whether the patient had/has pulmonary embolism (PE), specified as an obstruction of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"59282003, Pulmonary embolism","https://termbrowser.nhs.uk/?perspective=full&conceptId1=59282003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3552763, Pulmonary Embolism",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3552763,
complications_deepveinthrombosis,outcome,,Deep Vein Thrombosis (DVT),"1, Yes | 0, No","An indication whether the patient had/has Deep Vein Thrombosis, specified as a blood clot in a deep vein, predominantly in the lower extremity, but may include the pelvis or upper extremity at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"128053003, Deep venous thrombosis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=128053003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0149871, Deep Vein Thrombosis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0149871,
complications_anaemia,outcome,,Anaemia,"1, Yes | 0, No","An indication whether the patient had/has anaemia, specified as a reduction in the number of red blood cells, the amount of hemoglobin, and/or the volume of packed red blood cells at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"271737000, Anemia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=271737000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4229468, Anemia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4229468,
complications_rhabdomyolysis,outcome,,Rhabdomyolysis / Myositis To split? Two different diseases,"1, Yes | 0, No","An indication whether the patient had/has Rhabdomyolysis, specified as a clinical syndrome resulting from direct or indirect muscle injury and subsequent release of myoglobin into the plasma or Myositis, specified as an an inflammatory process affecting the skeletal muscles at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"240131006, Rhabdomyolysis, 26889001, Myositis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=240131006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104,                        https://termbrowser.nhs.uk/?perspective=full&conceptId1=26889001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4014084, Rhabdomyolysis, C4014723 Myositis","https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4014084                              ,https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4014723                  ",
complications_severeliverdisease,outcome,,Severe liver disease,"1, Yes | 0, No","An indication whether the patient had/has severe liver disease, specified as cirrhosis and portal hypertension with variceal bleeding, ascites, chronic jaundice, or status post liver transplantation at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"235856003, Disorder of liver","https://termbrowser.nhs.uk/?perspective=full&conceptId1=235856003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","CL1793619, Severe liver disease",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=CL1793619,
complications_severeliverdiseasetype,outcome,,Severe liver disease type,"1, Acute hepatitis | 2, Jaundice | 3, Hepatic encephalopathy (any grade)",An indication whether the patient had/has  at the specified time.,COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,SEE ROW 8!!,,SEE ROW 8!!,,[complications_severeliverdisease] = '1'
complications_acutehepatitis,outcome,,Acute hepatitis,"1, Yes | 0, No","An indication whether the patient had/has acute hepatitis, specified as acute inflammation of the liver at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"37871000, Acute hepatitis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=37871000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0267797, Acute Hepatitis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0267797,[complications_severeliverdisease] = '1'
complications_jaundice,outcome,,Jaundice,"1, Yes | 0, No","An indication whether the patient had/has jaundice, specified as yellowish pigmentation of the skin, mucous membranes, and the eyes at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"18165001, Jaundice","https://termbrowser.nhs.uk/?perspective=full&conceptId1=18165001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3549846, Jaundice",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3549846,[complications_severeliverdisease] = '1'
complications_hepaticencephal,outcome,,Hepatic encephalopathy (any grade),"1, Yes | 0, No","An indication whether the patient had/has hepatic encephalopathy, specified as a constellation of signs and symptoms characterized by changes in personality, consciousness, and reflexes, resulting from neuropsychiatric abnormalities secondary to liver failure without evidence of other brain disease at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"13920009, Hepatic encephalopathy","https://termbrowser.nhs.uk/?perspective=full&conceptId1=13920009&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0019151, hepatic encephalopathy",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0019151,[complications_severeliverdisease] = '1'
complications_ascites,outcome,,Ascites,"1, Yes | 0, No","An indication whether the patient had/has ascites, specified as an accumulation of fluid in the peritoneal cavity at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"389026000, Ascites","https://termbrowser.nhs.uk/?perspective=full&conceptId1=389026000&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3554541, Ascites",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3554541,
complications_pancreatitis,outcome,,Pancreatitis,"1, Yes | 0, No","An indication whether the patient had/has pancreatitis, specified as an inflammation of the pancreas at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"75694006, Pancreatitis","https://termbrowser.nhs.uk/?perspective=full&conceptId1=75694006&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4011703, Pancreatitis",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4011703,
complications_acuterenalinjury,outcome,,Acute renal injury / Acute renal failure,"1, Yes | 0, No","An indication whether the patient had/has an acute renal injury specified as an abrupt reduction in kidney function or had/has acute renal failure specified as a sudden and sustained deterioration of the kidney function characterized by decreased glomerular filtration rate, increased serum creatinine or oliguria at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"40095003, Injury of kidney,                      14669001, Acute renal failure syndrome","https://termbrowser.nhs.uk/?perspective=full&conceptId1=40095003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104;              https://termbrowser.nhs.uk/?perspective=full&conceptId1=14669001&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C2609414, Acute kidney injury, C0022660, Acute renal failure","https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C2609414,    https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0022660",
complications_hyperglycemia,outcome,,Hyperglycemia,"1, Yes | 0, No","An indication whether the patient had/has hyperglycemia, specified as an abnormally high level of glucose in the blood at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"80394007, Hyperglycemia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=80394007&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C4015534, Hyperglycemia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C4015534,
complications_hypoglycemia,outcome,,Hypoglycemia,"1, Yes | 0, No","An indication whether the patient had/has hypoglycemia, specified as an abnormally low level of glucose in the blood at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"302866003, Hypoglycemia","https://termbrowser.nhs.uk/?perspective=full&conceptId1=302866003&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C0858246, Hypoglycemia",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C0858246,
complications_liverdysfunction,outcome,,Liver dysfunction,"1, Yes | 0, No","An indication whether the patient had/has liver dysfunction, specified as non traumatic damage to the liver parenchyma resulting in hepatic insufficiency at the specified time.",COMPLICATIONS: Please record if any of these complications existed prior to admission. ,SNOMED,"59927004, Hepatic failure","https://termbrowser.nhs.uk/?perspective=full&conceptId1=59927004&edition=uk-edition&release=v20230607&server=https://termbrowser.nhs.uk/sct-browser-api/snomed&langRefset=999001261000000100,999000691000001104","C3806655, Liver dysfunction",https://ncimetathesaurus.nci.nih.gov/ncimbrowser/ConceptReport.jsp?dictionary=NCI%20Metathesaurus&code=C3806655,
