Form,Section,Variable,Type,Question,Answer Options,Validation,Minimum,Maximum,List,Skip Logic,preset_Disease_Core,preset_Disease_Dengue,preset_Disease_Mpox,preset_Disease_Nigeria_Mpox,preset_UK-CCP_Generic
daily,TREATMENTS & INTERVENTIONS: Record all interventions received or true between 00:00 to 24:00 on day of assessment,treat_unlisted,radio,Other intervention(s) or procedure(s),"1, Yes | 0, No | 99, Unknown",,,,,[daily_datatreat]='1',1,1,,,
daily,TREATMENTS & INTERVENTIONS: Record all interventions received or true between 00:00 to 24:00 on day of assessment,treat_unlisted_oth,text,Please specify other intervention(s) or procedure(s),,,,,,[treat_unlisted] = '1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_datalab,radio,Enter Laboratory Results data for this date?,"1, Yes | 0, No",,,,,,1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood,group,BLOOD TEST,,,,,,,,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_yn,radio,"Has the participant had a blood test at this visit? If additional research samples were collected during this visit, please fill in the research sampling form","1, Yes | 0, No",,,,,[daily_datalab]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_date,text,"If YES, date of assessment:",,date_dmy,,today,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_fbc,radio,FBC (Full Blood Count),"1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_fbcspec,text,"If NO, reason Full Blood Count not done:",,,,,,[daily_blood_fbc]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_ue,radio,U&E (Renal profile),"1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_uespec,text,"If NO, reason U&E not done:",,,,,,[daily_blood_ue]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_lft,radio,(LFT) Liver profile,"1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_lftspec,text,"If NO, reason LFT not done:",,,,,,[daily_blood_lft]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_bone,radio,Bone profile,"1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_bonespec,text,"If NO, reason Bone profile not done:",,,,,,[daily_blood_bone]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_gluc,radio,Blood glucose,"1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_glucspec,text,"If NO, reason Blood glucose not done:",,,,,,[daily_blood_gluc]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_hiv,radio,HIV serology (only at admission),"1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_hivspec,text,"If NO, reason HIV serology not done:",,,,,,[daily_blood_hiv]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_cd4,radio,"CD4 Count (if HIV positive, only at admission)","1, Yes | 0, No",,,,,[daily_blood_yn]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,daily_blood_cd4spec,text,"If NO, reason CD4 Count not done:",,,,,,[daily_blood_cd4]='0',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_haemo,,Haemoglobin (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_haemo_gdl,number,Haemoglobin (g/dL),,number,0,200,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_haemo_gl,number,Haemoglobin (g/L),,number,0,20,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_haemo_mmoll,number,Haemoglobin (mmol/L),,number,0,12.4,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_wbccount,number,WBC count (10^9/L),,number,,,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lymphocyte,,Lymphocytes (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lymphocyte_109l,number,Lymphocytes (10^9/L),,number,0,1000,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lymphocyte_106l,number,Lymphocytes (10^6/L),,number,0,3300,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lymphocyte_cellsu,number,Lymphocytes (cells/uL),,number,0,100000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lymphocyte_103ul,number,Lymphocytes (10^3/uL),,number,0,1000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lymphocyte_pcnt,number,Lymphocytes (%),,number,,,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_neutrophil,,Neutrophils (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_neutrophil_109l,number,Neutrophils (10^9/L),,number,0,100,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_neutrophil_106l,number,Neutrophils (10^6/L),,number,0,100000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_neutrophil_cellsu,number,Neutrophils (cells/uL),,number,0,100000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_neutrophil_103ul,number,Neutrophils (10^3/uL),,number,0,100,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_neutrophil_pcnt,number,Neutrophils (%),,number,,,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hematocrit,,Hematocrit (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hematocrit_pcnt,number,Hematocrit (%),,number,0,61,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hematocrit_frac,number,Hematocrit (fraction of 1),,number,0,0.61,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hematocrit_ll,number,Hematocrit (L/L),,number,0,0.61,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_platelets,,Platelets (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_platelets_109l,number,Platelets (10^9/L),,number,0,1659,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_platelets_106l,number,Platelets (10^6/L),,number,0,1659000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_platelets_103ul,number,Platelets (10^3/uL),,number,0,1659,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_aptt,number,Activated Partial Thromboplastin Time/APTT (sec),,number,20,300,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_aptr,number,APTR,,number,,,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_prothrombin,,Prothrombin Time/PT (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_prothrombin_sec,number,Prothrombin Time/PT (sec),,number,0,100,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_prothrombin_ratio,number,Prothrombin Intl. Normalized Ratio,,number,0,14,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_tqinr,number,TQ/INR,,number,,,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_altsgpt,number,ALT/SGPT (U/L),,number,,,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_bilirubin,,Total Bilirubin (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_bilirubin_umoll,number,Total Bilirubin (umol/L),,number,0,718,,[daily_datalab]='1',,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_bilirubin_mgdl,number,Total Bilirubin (mg/dL),,number,0,42,,[daily_datalab]='1',,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_alp,number,ALP (IU/L),,number,,,,[daily_datalab]='1',,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_astsgot,number,AST/SGOT (U/L),,number,,,,[daily_datalab]='1',,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_glucose,,Random glucose (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_glucose_mmoll,number,Random glucose (mmol/L),,number,0,148,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_glucose_mgdl,number,Random glucose (mg/dL),,number,0,2656,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_glucose_gl,number,Random glucose (g/L),,number,0,26.56,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ggt,number,Gamma Glutamyl Transferase/GGT (U/L),,number,0,1220,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ureanitro,,Urea/BUN (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ureanitro_mmoll,number,Urea/BUN (mmol/L),,number,0,89,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ureanitro_mgdl,number,Urea/BUN (mg/dL),,number,0,250,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ureanitro_gl,number,Urea/BUN (g/L),,number,0,10,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lactate,number,Lactate (select units),,number,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lactate_mmoll,number,Lactate (mmol/L),,number,,,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lactate_mg,number,Lactate (mg),,number,,,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_creatinine,,Creatinine (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_creatinine_umoll,number,Creatinine (umol/L),,number,0,4421,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_creatinine_mgdl,number,Creatinine (mg/dL),,number,0,50,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hba1c,number,HbA1C,,number,,,,[daily_datalab]='1',1,,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_sodium,,Sodium (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_sodium_mmoll,number,Sodium (mmol/L),,number,98,255,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_sodium_meql,number,Sodium (mEq/L),,number,98,255,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_potassium,,Potassium (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_potassium_mmoll,number,Potassium (mmol/L),,number,2,8,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_potassium_meql,number,Potassium (mEq/L),,number,2,8,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_procalcito,,Procalcitonin (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_procalcito_ugl,number,Procalcitonin (ug/L),,number,0.01,20,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_procalcito_ngml,number,Procalcitonin (ng/mL),,number,0.01,20,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_crp,,CRP (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_crp_mgl,number,CRP (mg/L),,number,0,1000,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_crp_mgdl,number,CRP (mg/dL),,number,0,225,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ldh,,Lactate Dehydrogenase/LDH (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ldh_ul,number,Lactate Dehydrogenase/LDH (U/L),,number,0,14000,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ldh_iul,number,Lactate Dehydrogenase/LDH (IU/L),,number,0,16650,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_creatineki,,Creatine kinase (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_creatineki_ul,number,Creatine kinase (U/L),,number,0,10000,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_creatineki_iul,number,Creatine kinase (IU/L),,number,0,10000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_tropi,,Troponin I (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_tropi_ugl,number,Troponin I (ug/L),,number,0,536,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_tropi_ngl,number,Troponin I (ng/L),,number,0,1113,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_tropi_ngml,number,Troponin I (ng/mL),,number,0,,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_tropi_ngdl,number,Troponin I (ng/dL),,number,0,340,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_troponin,,Troponin (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_troponin_ngl,number,Troponin (ng/L),,number,0,726,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_troponin_ngml,number,Troponin (ng/mL),,number,0,836,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_troponin_ugl,number,Troponin (ug/L),,number,0,1,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ddimer,,D-Dimer (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ddimer_mgl,number,D-Dimer (mg/L),,number,0,67,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ddimer_ugl,number,D-Dimer (ug/L),,number,0,67000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ddimer_ngml,number,D-Dimer (ng/mL),,number,0,67000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ferritin,,Ferritin (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ferritin_ugl,number,Ferritin (ug/L),,number,0,50000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ferritin_ngml,number,Ferritin (ng/mL),,number,0,150000,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_il6,,IL-6 (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_il6_pgml,number,IL-6 (pg/mL),,number,0,2526,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_il6_ngl,number,IL-6 (ng/L),,number,0,2526,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_il6_ngml,number,IL-6 (ng/mL),,number,0,497,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_fibrinogen,,Fibrinogen (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_fibrinogen_gl,number,Fibrinogen (g/L),,number,0,15,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_fibrinogen_mgdl,number,Fibrinogen (mg/dL),,number,0,1000,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_albumin,,Albumin (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_albumin_gdl,number,Albumin (g/dL),,number,2,5,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_albumin_mmoll,number,Albumin (mmol/L),,number,0,1000,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_albumin_gl,number,Albumin (g/L),,number,20,80,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_protein,,Protein TP (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_protein_gdl,number,Protein TP (g/dL),,number,5,15,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_protein_gl,number,Protein TP (g/L),,number,50,150,,[daily_datalab]='1',1,1,,1,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_paco2,,PaCO2 (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_paco2_mmhg,number,PaCO2 (mmHg),,number,10.3,79,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_paco2_kpa,number,PaCO2 (kPa),,number,1.37,12,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ph,number,pH,,number,6.8,7.8,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hco3,,Bicarbonate/HCO3- (select units),,,,,,[daily_datalab]='1',1,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hco3_mmoll,number,Bicarbonate/HCO3- (mmol/L),,number,0,50,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_hco3_meql,number,Bicarbonate/HCO3- (mEq/L),,number,0,50,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_baseexcess,number,Base Excess (mmol/L),,number,-9,16,,[daily_datalab]='1',1,1,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_leukocytes,,Leukocytes (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_leukocytes_109l,number,Leukocytes (10^9/L),,number,0,1115000,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_leukocytes_106l,number,Leukocytes (10^6/L),,number,0,24620,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_leukocytes_103l,number,Leukocytes (10^3/uL),,number,0,1115000,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_alanineami,,Alanine Aminotransferase (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_alanineami_ul,number,Alanine Aminotransferase (U/L),,number,0,700,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_alanineami_iul,number,Alanine Aminotransferase (IU/L),,number,0,700,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_aspartatea,,Aspartate Aminotransferase (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_aspartatea_ul,number,Aspartate Aminotransferase (U/L),,number,0,700,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_aspartatea_iul,number,Aspartate Aminotransferase (IU/L),,number,0,700,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lacticacid,,Lactic Acid (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lacticacid_mmoll,number,Lactic Acid (mmol/L),,number,0,10,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lacticacid_mgdl,number,Lactic Acid (mg/dL),,number,0,50,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_lacticacid_umoll,number,Lactic Acid (umol/L),,number,0,5,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ppo2,,Partial Pressure Oxygen (select units),,,,,,[daily_datalab]='1',,,,,
daily,LABORATORY RESULTS: Record the value furthest from normal range between 00:00 to 24:00 on day of assessment,labs_ppo2_mmhg,number,Partial Pressure Oxygen (mmHg),,number,19,214,,[daily_datalab]='1',,,,,
